track_name,genre,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")",Pop,"Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,2023,5,22,182,8,54.225.632,3,88,1,0,52,110,G,Minor,76,96,72,32,0,9,4
Perfect,Pop,Ed Sheeran,1,2017,1,1,16596,13,2.559.529.074,7,0,2.094,0,0,95,G#,Major,60,17,45,16,0,11,2
Romantic Homicide,"Pop, Pop-Rock",d4vd,1,2022,7,20,2335,23,681.583.126,82,55,50,0,9,132,F#,Major,56,20,55,45,1,32,3
Believer,"Rock, Pop-Rock",Imagine Dragons,1,2017,1,31,18986,23,2.594.040.133,250,121,2.969,10,31,125,A#,Minor,77,74,78,4,0,23,11
Novo Balanco,"Latin pop, Rap","Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,2023,5,19,283,7,81.102.253,6,9,26,1,66,124,D#,Minor,84,65,50,67,0,13,6
"Gol Bolinha, Gol Quadrado 2","Latin pop, funk brasileiro","Mc Pedrinho, DJ 900",2,2023,6,1,293,8,11.956.641,5,2,30,2,66,133,B,Minor,93,68,65,42,0,12,25
Without Me,"Hip hop, Rap",Eminem,1,2002,1,1,21081,43,1.687.664.027,98,76,3.889,5,0,112,G,Major,92,67,66,0,0,36,9
QUEMA,"Latin pop, Reggaeton","Sog, Ryan Castro, Peso Pluma",3,2023,7,13,437,31,11.599.388,17,29,26,3,208,97,,Major,79,92,89,5,0,6,5
Stargirl Interlude,"R&B, Pop","The Weeknd, Lana Del Rey",2,2016,11,24,1275,32,611.700.552,13,8,5,0,1,90,F,Minor,59,52,48,38,5,10,11
Ojitos Lindos,"Latin pop, Reggaeton",Bad Bunny & Bomba Estereo,2,2022,5,6,6135,38,1.133.865.788,71,113,99,13,28,80,D#,Minor,65,27,69,8,0,53,4
Somewhere Only We Know,Pop-Rock,Keane,1,2004,1,1,20015,16,1.089.402.494,107,69,5.239,0,558,172,A,Major,45,33,59,6,0,8,3
Those Eyes,country,New West,1,2019,5,10,1507,14,411.747.614,24,71,44,1,195,120,E,Major,60,24,35,73,0,31,3
El Gordo Trae El Mando,"Latin pop, Reggaeton",Chino Pacas,1,2023,1,27,539,21,255.932.395,7,71,4,2,13,140,G,Minor,74,96,80,18,0,5,5
Mi Bello Angel,"Latin pop, Rap",Natanael Cano,1,2023,6,30,86,8,31.873.544,7,76,3,1,93,128,A,Minor,81,90,77,1,0,9,5
Bye,"Latin pop, Reggaeton",Peso Pluma,1,2023,5,26,324,14,95.053.634,13,110,8,2,60,122,,Major,78,70,81,57,0,10,5
Danza Kuduro,Latin pop Pop,"Don Omar, Lucenzo",2,2010,1,1,17138,37,1.279.434.863,119,81,974,1,503,130,,Major,47,86,92,8,0,5,24
Nosso Quadro,Latin pop,"Ana Castela, AgroPlay",2,2023,2,2,894,9,233.801.632,14,88,66,3,72,160,A,Major,69,61,71,33,0,31,20
Locked Out Of Heaven,"Pop, Pop-Rock",Bruno Mars,1,2012,12,5,1622,9,1.481.349.984,0,0,356,0,0,144,F,Major,73,87,70,6,0,28,5
